Limit,AVG Time
1,213.82429571151732
2,186.96050379276275
3,174.53818724155425
4,167.36275029182434
5,163.52841610908507
6,161.07817118167878
7,160.15866577625275
8,159.17303402423858
9,159.27535359859468
10,159.21777551174165
11,159.68778164386748
12,160.5151143550873
13,160.86101472377777
14,160.57464637756348
15,161.45762977600097
16,161.39709939956666
17,162.03471431732177
18,162.34672718048097
19,163.0526526451111
20,163.185191655159
21,163.0949411392212
22,163.31869695186614
23,163.63998787403108
24,163.64578516483306
25,163.73616316318513
26,163.41255531311035
27,164.1119685649872
28,164.16007208824158
29,163.96289176940917
30,163.52102921009063
31,164.2198867559433
32,164.4550579547882
33,164.52226145267485
34,164.02465958595275
35,164.68166177272798
36,164.53474740982057
37,164.17385730743408
38,164.35339188575745
39,164.34843077659608
40,164.54078788757323
41,164.49724593162537
42,164.35759012699128
43,164.3696611404419
44,164.60438106060028
45,164.02917585372924
46,164.57076327800752
47,164.4861793756485
48,164.49893896579744
49,164.5189364671707
50,164.90991201400757
51,164.25036923885347
52,164.8181545495987
53,164.48294904232026
54,164.74577131271363
55,164.69305822849273
56,164.63563375473024
57,164.9005922794342
58,164.59583613872528
59,164.60476326942444
60,164.3752495765686
61,164.50235254764556
62,164.41733705997467
63,164.48947949409484
64,164.5269782781601
65,164.62220032215117
66,164.26767551898956
67,164.4710301399231
68,164.81525647640228
69,164.39660551548005
70,164.57836184501647
71,164.28296971321106
72,164.2719754457474
73,164.3657040834427
74,164.4699407339096
75,165.17784626483916
76,164.6738854408264
77,164.49148774147034
78,164.6002319574356
79,164.47876155376434
80,164.3712501525879
81,164.65247237682343
82,164.57627856731415
83,164.60692694187165
84,164.59903931617737
85,164.42527146339415
86,164.87502768039704
87,164.58146529197694
88,164.4914496898651
89,164.28544807434082
90,164.46358997821807
91,164.17871363162993
92,164.45596253871918
93,164.63259155750274
94,164.4963835477829
95,164.69672594070434
96,164.4362671852112
97,164.43628368377685
98,164.6412129163742
99,164.5000515460968
100,164.38619544506074
