Mutation,AVG Score
0.01,983.9858842674867
0.02,983.9125999781005
0.03,984.4234390998442
0.04,984.8758244748581
0.05,983.656981656045
0.06,984.2893386865993
0.07,983.489337492431
0.08,984.2410514047413
0.09,983.8332833281236
0.1,984.059408072703
0.11,983.8006448870814
0.12,984.1105811437294
0.13,984.340820596886
0.14,984.5705085048445
0.15,984.9607805594694
0.16,984.8290475241276
0.17,985.6241119272856
0.18,984.1005682850773
0.19,985.1511862861349
0.2,985.1603202784596
0.21,984.4920890979627
0.22,985.2795523880368
0.23,984.5836107572295
0.24,984.6763057119158
0.25,983.9346419593527
0.26,984.7052083425293
0.27,984.4636000094928
0.28,985.1081061465402
0.29,985.1564412954718
0.3,984.753099319914
0.31,985.3748631228085
0.32,985.4205670311354
0.33,985.6595832737419
0.34,985.5381395433233
0.35,985.5061073726959
0.36,985.3032007742573
0.37,984.6465984680601
0.38,984.892265807042
0.39,984.9740770572209
0.4,986.0168410350607
0.41,985.3463421632774
0.42,985.9787442392602
0.43,986.0278538017252
0.44,985.8568078136893
0.45,984.8601127711045
0.46,986.1725111615654
0.47,986.2720246687313
0.48,986.184282897549
0.49,985.4644610324352
0.5,986.3655820412496
0.51,985.7946939354324
0.52,986.4326805834447
0.53,985.8099288722664
0.54,986.4445076882527
0.55,986.1885067976713
0.56,986.1433260500864
0.57,985.5513289605854
0.58,985.4419219186835
0.59,985.6480402038848
0.6,986.3549851858186
0.61,985.8771053856842
0.62,986.3370561538056
0.63,986.231660225499
0.64,986.168695258573
0.65,986.825502151625
0.66,985.5655730090211
0.67,985.9953263258785
0.68,986.6936301385155
0.69,987.0059108697727
0.7,986.8722492289884
0.71,986.215899756646
0.72,986.7856929322663
0.73,987.3431669099527
0.74,986.2153877374936
0.75,985.9851332926557
0.76,986.3905331825624
0.77,986.3103138151819
0.78,986.7081161530505
0.79,986.7796725265098
0.8,986.8390425182149
0.81,986.861789972368
0.82,986.1719095229871
0.83,987.68418017578
0.84,986.1213196510374
0.85,986.7131387691865
0.86,986.2276639316094
0.87,987.2928456363376
0.88,986.825343936234
0.89,986.5061792650746
0.9,986.6914397802254
0.91,986.7847229559826
0.92,986.9084819426473
0.93,986.7696243470489
0.94,986.7824734051595
0.95,987.3855472013253
0.96,987.0295105064454
0.97,986.6748304655375
0.98,987.4722054610277
0.99,987.3790072967889
1.0,987.2427401600237
